Date,Adj Close,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
1/2/2020,72.79601288,75.08750153,75.15000153,73.79750061,74.05999756,135480400
1/3/2020,72.08828735,74.35749817,75.14499664,74.125,74.28749847,146322800
1/6/2020,72.6627121,74.94999695,74.98999786,73.1875,73.44750214,118387200
1/7/2020,72.320961,74.59750366,75.22499847,74.37000275,74.95999908,108872000
1/8/2020,73.48435974,75.79750061,76.11000061,74.29000092,74.29000092,132079200
1/9/2020,75.04521179,77.40750122,77.60749817,76.55000305,76.80999756,170108400
1/10/2020,75.2148819,77.58249664,78.16750336,77.0625,77.65000153,140644800
1/13/2020,76.82180023,79.23999786,79.26750183,77.78749847,77.91000366,121532000
1/14/2020,75.78444672,78.16999817,79.39250183,78.04250336,79.17500305,161954400
1/15/2020,75.45967102,77.83499908,78.875,77.38749695,77.96250153,121923600
1/16/2020,76.40491486,78.80999756,78.92500305,78.02249908,78.39749908,108829200
1/17/2020,77.25078583,79.68250275,79.68499756,78.75,79.06749725,137816400
1/21/2020,76.7272644,79.14250183,79.75499725,79,79.29750061,110843200
1/22/2020,77.00114441,79.42500305,79.99749756,79.32749939,79.64499664,101832400
1/23/2020,77.37197876,79.80750275,79.88999939,78.91249847,79.48000336,104472000
1/24/2020,77.14899445,79.57749939,80.83249664,79.37999725,80.0625,146537600
1/27/2020,74.88041687,77.23750305,77.94249725,76.22000122,77.51499939,161940000
1/28/2020,76.99871826,79.42250061,79.59999847,78.04750061,78.15000153,162234000
1/29/2020,78.61049652,81.08499908,81.96250153,80.34500122,81.11250305,216229200
1/30/2020,78.49655151,80.96749878,81.02249908,79.6875,80.13500214,126743200
1/31/2020,75.01613617,77.37750244,80.66999817,77.07250214,80.23249817,199588400
2/3/2020,74.81011963,77.16500092,78.37249756,75.55500031,76.07499695,173788400
2/4/2020,77.27987671,79.71250153,79.91000366,78.40750122,78.82749939,136616400
2/5/2020,77.91004181,80.36250305,81.19000244,79.73750305,80.87999725,118826800
2/6/2020,78.82136536,81.30249786,81.30500031,80.06500244,80.64250183,105425600
2/7/2020,77.74996185,80.00749969,80.84999847,79.5,80.59249878,117684000
2/10/2020,78.11923981,80.38749695,80.38749695,78.46250153,78.54499817,109348800
2/11/2020,77.6479187,79.90249634,80.97499847,79.67749786,80.90000153,94323200
2/12/2020,79.49185944,81.80000305,81.80500031,80.36750031,80.36750031,113730400
2/13/2020,78.92580414,81.21749878,81.55500031,80.83750153,81.04750061,94747600
2/14/2020,78.94527435,81.23750305,81.49500275,80.71250153,81.18499756,80113600
2/18/2020,77.49972534,79.75,79.9375,78.65249634,78.83999634,152531200
2/19/2020,78.62212372,80.90499878,81.14250183,80,80,93984000
2/20/2020,77.81556702,80.07499695,81.16249847,79.55249786,80.65750122,100566000
2/21/2020,76.05419922,78.26249695,80.11250305,77.625,79.65499878,129554000
2/24/2020,72.44159698,74.54499817,76.04499817,72.30750275,74.31500244,222195200
2/25/2020,69.98784637,72.01999664,75.63249969,71.53250122,75.23750305,230673600
2/26/2020,71.09809875,73.16249847,74.47000122,71.625,71.63249969,198054800
2/27/2020,66.45054626,68.37999725,71.5,68.23999786,70.27500153,320605600
2/28/2020,66.4116745,68.33999634,69.60250092,64.09249878,64.31500244,426510000
3/2/2020,72.59463501,74.70249939,75.36000061,69.43000031,70.56999969,341397200
3/3/2020,70.28908539,72.33000183,76,71.44999695,75.91750336,319475600
3/4/2020,73.54943085,75.68499756,75.84999847,73.28250122,74.11000061,219178400
3/5/2020,71.16370392,73.23000336,74.88749695,72.85250092,73.87999725,187572800
3/6/2020,70.21864319,72.25749969,72.70500183,70.30750275,70.5,226176800
3/9/2020,64.66490173,66.54250336,69.52249908,65.75,65.9375,286744800
3/10/2020,69.32216644,71.33499908,71.61000061,67.34249878,69.28500366,285290000
3/11/2020,66.91456604,68.85749817,70.30500031,67.96499634,69.34750366,255598800
3/12/2020,60.30644608,62.05749893,67.5,62,63.98500061,418474000
3/13/2020,67.53166199,69.49250031,69.98000336,63.23749924,66.22250366,370732000
3/16/2020,58.84392166,60.55250168,64.76999664,60,60.48749924,322423600
3/17/2020,61.43128204,63.21500015,64.40249634,59.59999847,61.87749863,324056000
3/18/2020,59.92744827,61.66749954,62.5,59.27999878,59.94250107,300233600
3/19/2020,59.46828842,61.19499969,63.20999908,60.65250015,61.84749985,271857200
3/20/2020,55.69290924,57.31000137,62.95750046,57,61.79499817,401693200
3/23/2020,54.50975418,56.09249878,57.125,53.15250015,57.02000046,336752800
3/24/2020,59.97847366,61.72000122,61.92250061,58.57500076,59.09000015,287531200
3/25/2020,59.64805222,61.38000107,64.5625,61.07500076,62.6875,303602000
3/26/2020,62.78692245,64.61000061,64.66999817,61.59000015,61.63000107,252087200
3/27/2020,60.187397,61.93500137,63.96749878,61.76250076,63.1875,204216800
3/30/2020,61.9050293,63.70249939,63.88000107,62.34999847,62.68500137,167976400
3/31/2020,61.77869034,63.57249832,65.62249756,63,63.90000153,197002000
4/1/2020,58.52807617,60.22750092,62.18000031,59.78250122,61.625,176218400
4/2/2020,59.50471878,61.23249817,61.28749847,59.22499847,60.08499908,165934000
4/3/2020,58.64955902,60.35250092,61.42499924,59.74250031,60.70000076,129880000
4/6/2020,63.76599884,65.61750031,65.77749634,62.34500122,62.72499847,201820400
